amare (inf), amare
amare (io), io amo
amare (tu), tu ami
amare (lui), lui/lei ama
amare (noi), noi amiamo
amare (voi), voi amate
amare (loro), loro amano
abitare (inf), abitare
abitare (io), io abito
abitare (tu), tu abiti
abitare (lui), lui/lei abita
abitare (noi), noi abitiamo
abitare (voi), voi abitate
abitare (loro), loro abitano
arrivare (inf), arrivare
arrivare (io), io arrivo
arrivare (tu), tu arrivi
arrivare (lui), lui/lei arriva
arrivare (noi), noi arriviamo
arrivare (voi), voi arrivate
arrivare (loro), loro arrivano
ascoltare (inf), ascoltare
ascoltare (io), io ascolto
ascoltare (tu), tu ascolti
ascoltare (lui), lui/lei ascolta
ascoltare (noi), noi ascoltiamo
ascoltare (voi), voi ascoltate
ascoltare (loro), loro ascoltano
ballare (inf), ballare
ballare (io), io ballo
ballare (tu), tu balli
ballare (lui), lui/lei balla
ballare (noi), noi balliamo
ballare (voi), voi ballate
ballare (loro), loro ballano
cambiare (inf), cambiare
cambiare (io), io cambio
cambiare (tu), tu cambi
cambiare (lui), lui/lei cambia
cambiare (noi), noi cambiamo
cambiare (voi), voi cambiate
cambiare (loro), loro cambiano
cantare (inf), cantare
cantare (io), io canto
cantare (tu), tu canti
cantare (lui), lui/lei canta
cantare (noi), noi cantiamo
cantare (voi), voi cantate
cantare (loro), loro cantano
cenare (inf), cenare
cenare (io), io ceno
cenare (tu), tu ceni
cenare (lui), lui/lei cena
cenare (noi), noi ceniamo
cenare (voi), voi cenate
cenare (loro), loro cenano
chiamare (inf), chiamare
chiamare (io), io chiamo
chiamare (tu), tu chiami
chiamare (lui), lui/lei chiama
chiamare (noi), noi chiamiamo
chiamare (voi), voi chiamate
chiamare (loro), loro chiamano
comprare (inf), comprare
comprare (io), io compro
comprare (tu), tu compri
comprare (lui), lui/lei compra
comprare (noi), noi compriamo
comprare (voi), voi comprate
comprare (loro), loro comprano
consegnare (inf), consegnare
consegnare (io), io consegno
consegnare (tu), tu consegni
consegnare (lui), lui/lei consegna
consegnare (noi), noi consegniamo
consegnare (voi), voi consegnate
consegnare (loro), loro consegnano
creare (inf), creare
creare (io), io creo
creare (tu), tu crei
creare (lui), lui/lei crea
creare (noi), noi creiamo
creare (voi), voi create
creare (loro), loro creano
cucinare (inf), cucinare
cucinare (io), io cucino
cucinare (tu), tu cucini
cucinare (lui), lui/lei cucina
cucinare (noi), noi cuciniamo
cucinare (voi), voi cucinate
cucinare (loro), loro cucinano
disegnare (inf), disegnare
disegnare (io), io disegno
disegnare (tu), tu disegni
disegnare (lui), lui/lei disegna
disegnare (noi), noi disegniamo
disegnare (voi), voi disegnate
disegnare (loro), loro disegnano
domandare (inf), domandare
domandare (io), io domando
domandare (tu), tu domandi
domandare (lui), lui/lei domanda
domandare (noi), noi domandiamo
domandare (voi), voi domandate
domandare (loro), loro domandano
entrare (inf), entrare
entrare (io), io entro
entrare (tu), tu entri
entrare (lui), lui/lei entra
entrare (noi), noi entriamo
entrare (voi), voi entrate
entrare (loro), loro entrano
giocare (inf), giocare
giocare (io), io gioco
giocare (tu), tu giochi
giocare (lui), lui/lei gioca
giocare (noi), noi giochiamo
giocare (voi), voi giocate
giocare (loro), loro giocano
guardare (inf), guardare
guardare (io), io guardo
guardare (tu), tu guardi
guardare (lui), lui/lei guarda
guardare (noi), noi guardiamo
guardare (voi), voi guardate
guardare (loro), loro guardano
imparare (inf), imparare
imparare (io), io imparo
imparare (tu), tu impari
imparare (lui), lui/lei impara
imparare (noi), noi impariamo
imparare (voi), voi imparate
imparare (loro), loro imparano
iniziare (inf), iniziare
iniziare (io), io inizio
iniziare (tu), tu inizi
iniziare (lui), lui/lei inizia
iniziare (noi), noi iniziamo
iniziare (voi), voi iniziate
iniziare (loro), loro iniziano
lavorare (inf), lavorare
lavorare (io), io lavoro
lavorare (tu), tu lavori
lavorare (lui), lui/lei lavora
lavorare (noi), noi lavoriamo
lavorare (voi), voi lavorate
lavorare (loro), loro lavorano
lavare (inf), lavare
lavare (io), io lavo
lavare (tu), tu lavi
lavare (lui), lui/lei lava
lavare (noi), noi laviamo
lavare (voi), voi lavate
lavare (loro), loro lavano
mangiare (inf), mangiare
mangiare (io), io mangio
mangiare (tu), tu mangi
mangiare (lui), lui/lei mangia
mangiare (noi), noi mangiamo
mangiare (voi), voi mangiate
mangiare (loro), loro mangiano
mandare (inf), mandare
mandare (io), io mando
mandare (tu), tu mandi
mandare (lui), lui/lei manda
mandare (noi), noi mandiamo
mandare (voi), voi mandate
mandare (loro), loro mandano
nuotare (inf), nuotare
nuotare (io), io nuoto
nuotare (tu), tu nuoti
nuotare (lui), lui/lei nuota
nuotare (noi), noi nuotiamo
nuotare (voi), voi nuotate
nuotare (loro), loro nuotano
parlare (inf), parlare
parlare (io), io parlo
parlare (tu), tu parli
parlare (lui), lui/lei parla
parlare (noi), noi parliamo
parlare (voi), voi parlate
parlare (loro), loro parlano
passare (inf), passare
passare (io), io passo
passare (tu), tu passi
passare (lui), lui/lei passa
passare (noi), noi passiamo
passare (voi), voi passate
passare (loro), loro passano
pensare (inf), pensare
pensare (io), io penso
pensare (tu), tu pensi
pensare (lui), lui/lei pensa
pensare (noi), noi pensiamo
pensare (voi), voi pensate
pensare (loro), loro pensano
portare (inf), portare
portare (io), io porto
portare (tu), tu porti
portare (lui), lui/lei porta
portare (noi), noi portiamo
portare (voi), voi portate
portare (loro), loro portano
preparare (inf), preparare
preparare (io), io preparo
preparare (tu), tu prepari
preparare (lui), lui/lei prepara
preparare (noi), noi prepariamo
preparare (voi), voi preparate
preparare (loro), loro preparano
restare (inf), restare
restare (io), io resto
restare (tu), tu resti
restare (lui), lui/lei resta
restare (noi), noi restiamo
restare (voi), voi restate
restare (loro), loro restano
ritornare (inf), ritornare
ritornare (io), io ritorno
ritornare (tu), tu ritorni
ritornare (lui), lui/lei ritorna
ritornare (noi), noi ritorniamo
ritornare (voi), voi ritornate
ritornare (loro), loro ritornano
salutare (inf), salutare
salutare (io), io saluto
salutare (tu), tu saluti
salutare (lui), lui/lei saluta
salutare (noi), noi salutiamo
salutare (voi), voi salutate
salutare (loro), loro salutano
salvare (inf), salvare
salvare (io), io salvo
salvare (tu), tu salvi
salvare (lui), lui/lei salva
salvare (noi), noi salviamo
salvare (voi), voi salvate
salvare (loro), loro salvano
suonare (inf), suonare
suonare (io), io suono
suonare (tu), tu suoni
suonare (lui), lui/lei suona
suonare (noi), noi suoniamo
suonare (voi), voi suonate
suonare (loro), loro suonano
telefonare (inf), telefonare
telefonare (io), io telefono
telefonare (tu), tu telefoni
telefonare (lui), lui/lei telefona
telefonare (noi), noi telefoniamo
telefonare (voi), voi telefonate
telefonare (loro), loro telefonano
trovare (inf), trovare
trovare (io), io trovo
trovare (tu), tu trovi
trovare (lui), lui/lei trova
trovare (noi), noi troviamo
trovare (voi), voi trovate
trovare (loro), loro trovano
tornare (inf), tornare
tornare (io), io torno
tornare (tu), tu torni
tornare (lui), lui/lei torna
tornare (noi), noi torniamo
tornare (voi), voi tornate
tornare (loro), loro tornano
usare (inf), usare
usare (io), io uso
usare (tu), tu usi
usare (lui), lui/lei usa
usare (noi), noi usiamo
usare (voi), voi usate
usare (loro), loro usano
visitare (inf), visitare
visitare (io), io visito
visitare (tu), tu visiti
visitare (lui), lui/lei visita
visitare (noi), noi visitiamo
visitare (voi), voi visitate
visitare (loro), loro visitano
viaggiare (inf), viaggiare
viaggiare (io), io viaggio
viaggiare (tu), tu viaggi
viaggiare (lui), lui/lei viaggia
viaggiare (noi), noi viaggiamo
viaggiare (voi), voi viaggiate
viaggiare (loro), loro viaggiano
volare (inf), volare
volare (io), io volo
volare (tu), tu voli
volare (lui), lui/lei vola
volare (noi), noi voliamo
volare (voi), voi volate
volare (loro), loro volano
cercare (inf), cercare
cercare (io), io cerco
cercare (tu), tu cerchi
cercare (lui), lui/lei cerca
cercare (noi), noi cerchiamo
cercare (voi), voi cercate
cercare (loro), loro cercano
studiare (inf), studiare
studiare (io), io studio
studiare (tu), tu studi
studiare (lui), lui/lei studia
studiare (noi), noi studiamo
studiare (voi), voi studiate
studiare (loro), loro studiano
parcheggiare (inf), parcheggiare
parcheggiare (io), io parcheggio
parcheggiare (tu), tu parcheggi
parcheggiare (lui), lui/lei parcheggia
parcheggiare (noi), noi parcheggiamo
parcheggiare (voi), voi parcheggiate
parcheggiare (loro), loro parcheggiano
spiegare (inf), spiegare
spiegare (io), io spiego
spiegare (tu), tu spieghi
spiegare (lui), lui/lei spiega
spiegare (noi), noi spieghiamo
spiegare (voi), voi spiegate
spiegare (loro), loro spiegano
pranzare (inf), pranzare
pranzare (io), io pranzo
pranzare (tu), tu pranzi
pranzare (lui), lui/lei pranza
pranzare (noi), noi pranziamo
pranzare (voi), voi pranzate
pranzare (loro), loro pranzano
guadagnare (inf), guadagnare
guadagnare (io), io guadagno
guadagnare (tu), tu guadagni
guadagnare (lui), lui/lei guadagna
guadagnare (noi), noi guadagniamo
guadagnare (voi), voi guadagnate
guadagnare (loro), loro guadagnano
