Italian,Russian
ho,имею
hai,имеешь
hanno,имеют
hotel,отель
hostess,стюардесса
Helsinki,Хельсинки
Manhattan,Манхэттен
Hannover,Ганновер
eco,эхо
ecco,вот
note,ноты
notte,ночь
Ada,Ада
Adda,Адда
programma,программа
tema,тема
problema,проблема
direttore,директор
struttura,структура
bello,красивый
Lecco,Лекко
tratto,отрезок
renna,северный олень
babbo,папа
madre,мать
padre,отец
lettera,письмо
letteratura,литература
cultura,культура
politica,политика
matematica,математика
pittura,живопись
moda,мода
somma,сумма
latte,молоко
buonanotte,спокойной ночи
mela,яблоко
melone,дыня
parlamento,парламент
repubblica,республика
Caterina,Катерина
Valentina,Валентина
Valentino,Валентино
cantare,петь
contare,считать
raccontare,рассказывать
castello,замок
verificare,проверять
arco,дуга
arcobaleno,радуга
corso,курс
credere,верить
cinema,кино
centro,центр
circo,цирк
cucina,кухня
cercare,искать
cucire,шить
invece,вместо
cellulare,мобильный телефон
accendere,включать
luce,свет
voce,голос
cemento,цемент
ciminiera,труба
Sicilia,Сицилия
Cile,Чили
ciao,привет
faccia,лицо
caccia,охота
carciofo,артишок
cioccolatino,шоколадная конфета
chi,кто
che,что
chiaro,ясный
perché,почему
parchi,парки
chiave,ключ
chiacchierare,болтать
cucchiaio,ложка
chiudere,закрывать
chiedere,спрашивать
Francia,Франция
Grecia,Греция
agosto,август
galante,галантный
galleria,галерея
gallo,петух
riga,линия
gamma,гамма
gatto,кот
gridare,кричать
fango,грязь
governare,управлять
gelato,мороженое
argento,серебро
gennaio,январь
Gino,Джино
Argentina,Аргентина
Parigi,Париж
Germania,Германия
Genova,Генуя
Ginevra,Женева
Gianna,Джанна
Giulietta,Джульетта
giallo,жёлтый
viaggio,путешествие
viaggiamo,мы путешествуем
Norvegia,Норвегия
ciliegia,вишня
Perugia,Перуджа
Chioggia,Кьоджа
funghi,грибы
righe,линии
paghiamo,мы платим
paghi,ты платишь
Inghilterra,Англия
Margherita,Маргерита
vaso,ваза
rosa,роза
rosso,красный
risate,смех
spendere,тратить
splendere,сиять
svanire,исчезать
smemorato,забывчивый
cosa,вещь
mosaico,мозаика
marchese,маркиз
slacciare,расстёгивать
smarire,терять
svenire,падать в обморок
smentire,опровергать
spaventare,пугать
sparare,стрелять
sperare,надеяться
Russia,Россия
Messico,Мексика
Lussemburgo,Люксембург
Stati Uniti,Соединённые Штаты
Paesi Bassi,Нидерланды
Pisa,Пиза
Slovenia,Словения
emozione,эмоция
operazione,операция
azione,действие
generalizzare,обобщать
organizzare,организовывать
organizzazione,организация
direzione,направление
nazione,нация
spazio,пространство
zampa,лапа
zucca,тыква
mazzo,букет
pazzo,сумасшедший
pezzo,кусок
mezzo,средство
mezzanotte,полночь
mezzogiorno,полдень
Venezia,Венеция
Firenze,Флоренция
Venezuela,Венесуэла
Svezia,Швеция
Svizzera,Швейцария
Zurigo,Цюрих
Bologna,Болонья
Sardegna,Сардиния
Gran Bretagna,Великобритания
Regno Unito,Соединённое Королевство
spagnolo,испанский
sognare,мечтать
ragna,паутина
castagna,каштан
castagne,каштановые орехи
impegno,обязательство
impegni,обязательства
giugno,июнь
