Italian,English
purtroppo,unfortunately
anche,also
inoltre,moreover
tuttavia,however
quindi,therefore
perciò,so
infatti,in fact
poi,then
allora,"so, then"
comunque,"anyway, however"
ancora,"still, yet"
già,already
sempre,always
spesso,often
mai,never
talvolta,sometimes
ora,now
adesso,right now
subito,immediately
dopo,"after, later"
prima,before
intanto,meanwhile
oltre,"beyond, besides"
solo,only
appena,"just, barely"
perfino,even
quasi,almost
circa,"about, approximately"
davvero,"really, truly"
forse,maybe
magari,"perhaps, if only"
certamente,certainly
probabilmente,probably
naturalmente,naturally
ovviamente,obviously
sicuramente,surely
assolutamente,absolutely
insieme,together
lontano,far
vicino,near
dentro,inside
fuori,outside
sopra,"above, over"
sotto,"under, below"
davanti,in front
dietro,behind
dappertutto,everywhere
altrove,elsewhere
oggi,today
ieri,yesterday
domani,tomorrow
semplicemente,simply
lentamente,slowly
velocemente,quickly
esattamente,exactly
finalmente,finally
eventualmente,possibly
